imagen,mascara,score,box,estado
img_1776864630193.png,mask_img_1776864630193.png,0.6438,"[0, 0, 640, 480]",✅ Válido
img_1776864644631.png,mask_img_1776864644631.png,0.6314,"[0, 0, 640, 480]",✅ Válido
img_1777026670875.png,mask_img_1777026670875.png,0.6275,"[0, 0, 640, 480]",✅ Válido
img_1777027201011.png,mask_img_1777027201011.png,0.6395,"[0, 0, 640, 480]",✅ Válido
img_1777027661410.png,mask_img_1777027661410.png,0.6310,"[0, 0, 640, 480]",✅ Válido
img_1777027673930.png,mask_img_1777027673930.png,0.6265,"[0, 0, 640, 480]",✅ Válido
img_1777028297087.png,mask_img_1777028297087.png,0.6308,"[0, 0, 640, 480]",✅ Válido
img_1777028325664.png,mask_img_1777028325664.png,0.6219,"[0, 0, 640, 480]",✅ Válido
img_1777028637517.png,mask_img_1777028637517.png,0.6623,"[0, 0, 640, 480]",✅ Válido
img_1776863513281.png,mask_img_1776863513281.png,0.6429,"[0, 0, 640, 480]",✅ Válido
img_1776863889130.png,mask_img_1776863889130.png,0.6479,"[0, 0, 640, 480]",✅ Válido
img_1776863909985.png,mask_img_1776863909985.png,0.6368,"[0, 0, 640, 480]",✅ Válido
img_1777026517084.png,mask_img_1777026517084.png,0.6459,"[0, 0, 640, 480]",✅ Válido
img_1777026555963.png,mask_img_1777026555963.png,0.6253,"[0, 0, 640, 480]",✅ Válido
img_1777027170211.png,mask_img_1777027170211.png,0.6370,"[0, 0, 640, 480]",✅ Válido
img_1777027595858.png,mask_img_1777027595858.png,0.6286,"[0, 0, 640, 480]",✅ Válido
img_1777028264615.png,mask_img_1777028264615.png,0.6405,"[0, 0, 640, 480]",✅ Válido
img_1776863844568.png,mask_img_1776863844568.png,0.6515,"[0, 0, 640, 480]",✅ Válido
img_1776863884377.png,mask_img_1776863884377.png,0.6438,"[0, 0, 640, 480]",✅ Válido
img_1776863887385.png,mask_img_1776863887385.png,0.6441,"[0, 0, 640, 480]",✅ Válido
img_1776863902961.png,mask_img_1776863902961.png,0.6310,"[0, 0, 640, 480]",✅ Válido
img_1776863912609.png,mask_img_1776863912609.png,0.6382,"[0, 0, 640, 480]",✅ Válido
img_1776864627969.png,mask_img_1776864627969.png,0.6456,"[0, 0, 640, 480]",✅ Válido
img_1776864657857.png,mask_img_1776864657857.png,0.6504,"[0, 0, 640, 480]",✅ Válido
img_1777026663955.png,mask_img_1777026663955.png,0.6262,"[0, 0, 640, 480]",✅ Válido
img_1777026677571.png,mask_img_1777026677571.png,0.6240,"[0, 0, 640, 480]",✅ Válido
img_1777026683540.png,mask_img_1777026683540.png,0.6396,"[0, 0, 640, 480]",✅ Válido
img_1777026722836.png,mask_img_1777026722836.png,0.6484,"[0, 0, 640, 480]",✅ Válido
img_1777027208507.png,mask_img_1777027208507.png,0.6283,"[0, 0, 640, 480]",✅ Válido
img_1777027216755.png,mask_img_1777027216755.png,0.6237,"[0, 0, 640, 480]",✅ Válido
img_1777027229835.png,mask_img_1777027229835.png,0.6260,"[0, 0, 640, 480]",✅ Válido
img_1777027669642.png,mask_img_1777027669642.png,0.6394,"[0, 0, 640, 480]",✅ Válido
img_1777027692722.png,mask_img_1777027692722.png,0.6127,"[0, 0, 640, 480]",✅ Válido
img_1777027697410.png,mask_img_1777027697410.png,0.6164,"[0, 0, 640, 480]",✅ Válido
img_1777027701490.png,mask_img_1777027701490.png,0.6086,"[0, 0, 640, 480]",✅ Válido
img_1777028282535.png,mask_img_1777028282535.png,0.6354,"[0, 0, 640, 480]",✅ Válido
img_1777028310895.png,mask_img_1777028310895.png,0.6356,"[0, 0, 640, 480]",✅ Válido
img_1777028314472.png,mask_img_1777028314472.png,0.6221,"[0, 0, 640, 480]",✅ Válido
img_1777028572300.png,mask_img_1777028572300.png,0.6485,"[0, 0, 640, 480]",✅ Válido
img_1777028576572.png,mask_img_1777028576572.png,0.6453,"[0, 0, 640, 480]",✅ Válido
img_1777028579628.png,mask_img_1777028579628.png,0.6443,"[0, 0, 640, 480]",✅ Válido
img_1777028584348.png,mask_img_1777028584348.png,0.6427,"[0, 0, 640, 480]",✅ Válido
img_1776863492105.png,mask_img_1776863492105.png,0.6368,"[0, 0, 640, 480]",✅ Válido
img_1776863503345.png,mask_img_1776863503345.png,0.6313,"[0, 0, 640, 480]",✅ Válido
img_1776863516809.png,mask_img_1776863516809.png,0.6492,"[0, 0, 640, 480]",✅ Válido
img_1776863541097.png,mask_img_1776863541097.png,0.6403,"[0, 0, 640, 480]",✅ Válido
img_1776863543984.png,mask_img_1776863543984.png,0.6423,"[0, 0, 640, 480]",✅ Válido
img_1776863898155.png,mask_img_1776863898155.png,0.6476,"[0, 0, 640, 480]",✅ Válido
img_1776864612420.png,mask_img_1776864612420.png,0.6540,"[0, 0, 640, 480]",✅ Válido
img_1776864617064.png,mask_img_1776864617064.png,0.6429,"[0, 0, 640, 480]",✅ Válido
img_1776864651121.png,mask_img_1776864651121.png,0.6291,"[0, 0, 640, 480]",✅ Válido
img_1776864655529.png,mask_img_1776864655529.png,0.6272,"[0, 0, 640, 480]",✅ Válido
img_1776940791703.png,mask_img_1776940791703.png,0.6336,"[0, 0, 640, 480]",✅ Válido
img_1777026546667.png,mask_img_1777026546667.png,0.6263,"[0, 0, 640, 480]",✅ Válido
img_1777026583411.png,mask_img_1777026583411.png,0.6291,"[0, 0, 640, 480]",✅ Válido
img_1777026609459.png,mask_img_1777026609459.png,0.6228,"[0, 0, 640, 480]",✅ Válido
img_1777027197915.png,mask_img_1777027197915.png,0.6371,"[0, 0, 640, 480]",✅ Válido
img_1777027205611.png,mask_img_1777027205611.png,0.6285,"[0, 0, 640, 480]",✅ Válido
img_1777027212259.png,mask_img_1777027212259.png,0.6064,"[0, 0, 640, 480]",✅ Válido
img_1777027221619.png,mask_img_1777027221619.png,0.6065,"[0, 0, 640, 480]",✅ Válido
img_1777027577698.png,mask_img_1777027577698.png,0.6489,"[0, 0, 640, 480]",✅ Válido
img_1777027592482.png,mask_img_1777027592482.png,0.6349,"[0, 0, 640, 480]",✅ Válido
img_1777027605562.png,mask_img_1777027605562.png,0.6300,"[0, 0, 640, 480]",✅ Válido
img_1777027643698.png,mask_img_1777027643698.png,0.6459,"[0, 0, 640, 480]",✅ Válido
img_1777028182453.png,mask_img_1777028182453.png,0.6390,"[0, 0, 640, 480]",✅ Válido
img_1777028190117.png,mask_img_1777028190117.png,0.6364,"[0, 0, 640, 480]",✅ Válido
img_1777028516715.png,mask_img_1777028516715.png,0.6501,"[0, 0, 640, 480]",✅ Válido
img_1777028523315.png,mask_img_1777028523315.png,0.6487,"[0, 0, 640, 480]",✅ Válido
img_1777028530747.png,mask_img_1777028530747.png,0.6433,"[0, 0, 640, 480]",✅ Válido
img_1777028559468.png,mask_img_1777028559468.png,0.6403,"[0, 0, 640, 480]",✅ Válido
